0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:40:39 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44684
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:40:53 +0530] "POST /Student_Record_Management/insertNewResult.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:40:53 +0530] "GET /Student_Record_Management/insertStudentResultFailure.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:40:55 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44684
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:41:50 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44684
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:42:03 +0530] "POST /Student_Record_Management/insertNewResult.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:42:03 +0530] "GET /Student_Record_Management/insertStudentResultFailure.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:42:57 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44684
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:43:09 +0530] "POST /Student_Record_Management/insertNewResult.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:43:09 +0530] "GET /Student_Record_Management/insertStudentResultSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:44:51 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44872
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:51:10 +0530] "POST /Student_Record_Management/deleteStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:51:10 +0530] "GET /Student_Record_Management/deleteSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:53:19 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44421
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:58:01 +0530] "POST /Student_Record_Management/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:58:01 +0530] "GET /Student_Record_Management/newStudentSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:58:03 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44717
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:59:54 +0530] "POST /Student_Record_Management/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:59:54 +0530] "GET /Student_Record_Management/newStudentSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:59:55 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 45014
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:00:30 +0530] "POST /Student_Record_Management/insertNewResult.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:00:30 +0530] "GET /Student_Record_Management/insertStudentResultSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:00:32 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 45203
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:01:05 +0530] "POST /Student_Record_Management/insertNewResult.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:01:05 +0530] "GET /Student_Record_Management/insertStudentResultSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:01:06 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 45391
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:02:38 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:03:25 +0530] "GET /Student_Record_Management/dgiOneView.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:12:10 +0530] "POST /Student_Record_Management/Studentloginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:12:10 +0530] "GET /Student_Record_Management/errorDgiOneView.html HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:12:17 +0530] "POST /Student_Record_Management/Studentloginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:12:17 +0530] "GET /Student_Record_Management/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:12:24 +0530] "POST /Student_Record_Management/Studentloginservlet HTTP/1.1" 302 -
